Bed Name,Site Code,Survey Date,Survey Day,NWSC Max Ext,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge
Possession Point,POSS,2017-08-24,24.0,1.0,8.0,2017.0,21.48492019100219,13.0,,,,,,
Possession Point,POSS,2018-07-17,17.0,0.0,7.0,2018.0,15.34457183436844,16.0,,,,,,
Possession Point,POSS,2018-08-14,14.0,1.0,8.0,2018.0,38.00233083091084,16.0,,,,,,
Possession Point,POSS,2018-09-10,10.0,0.0,9.0,2018.0,36.00687253067589,14.0,,,,,,
Possession Point,POSS,2019-06-21,21.0,0.0,6.0,2019.0,0.2331358826243877,15.0,,,,,,
Possession Point,POSS,2019-07-19,19.0,0.0,7.0,2019.0,57.36723447240285,15.0,,,,,,
Possession Point,POSS,2019-08-16,16.0,1.0,8.0,2019.0,60.67091155370715,15.0,,,,,,
Possession Point,POSS,2019-09-26,26.0,0.0,9.0,2019.0,60.4573527948931,15.0,,,,,,
Possession Point,POSS,2020-06-26,26.0,0.0,6.0,2020.0,11.67988667786856,,16.0,15.5,,,16.0,15.5
Possession Point,POSS,2020-07-17,17.0,0.0,7.0,2020.0,24.6529968171863,,15.0,15.0,,,15.0,15.0
Possession Point,POSS,2020-08-31,31.0,1.0,8.0,2020.0,51.08569876322605,,15.0,14.5,,,15.0,14.5
Possession Point,POSS,2021-06-16,16.0,0.0,6.0,2021.0,12.55460704596382,,17.0,16.0,,,17.0,16.0
Possession Point,POSS,2021-07-19,19.0,0.0,7.0,2021.0,55.06882390825592,,,,,,,
Possession Point,POSS,2021-08-11,11.0,1.0,8.0,2021.0,65.7338868649602,,16.0,17.0,,18.0,16.0,17.5
Possession Point,POSS,2021-09-07,7.0,0.0,9.0,2021.0,51.64296911240184,,15.0,14.5,,15.0,15.0,14.75
Possession Point,POSS,2022-06-19,19.0,0.0,6.0,2022.0,13.51862997902077,,15.0,16.0,15.0,15.0,15.0,15.5
Possession Point,POSS,2022-06-19,19.0,0.0,6.0,2022.0,14.92193893561102,,15.0,12.5,13.0,13.0,14.0,12.75
Possession Point,POSS,2022-07-25,25.0,0.0,7.0,2022.0,71.13229968542284,,16.5,15.0,16.0,15.5,16.25,15.25
Possession Point,POSS,2022-08-24,24.0,0.0,8.0,2022.0,81.55121201010225,,16.5,16.5,16.0,15.0,16.25,15.75
Possession Point,POSS,2022-09-10,10.0,1.0,9.0,2022.0,88.63036112573265,,14.5,14.0,14.0,14.5,14.25,14.25
Possession Point,POSS,2023-06-30,30.0,0.0,6.0,2023.0,2.529537586967456,,15.5,15.6,16.0,15.8,15.8,15.8
Possession Point,POSS,2023-08-14,14.0,1.0,8.0,2023.0,85.88719954864276,,16.8,16.5,17.2,18.6,17.0,17.6
Possession Point,POSS,2024-06-18,18.0,0.0,6.0,2024.0,23.55276275958034,,14,13.6,13.8,13.6,13.9,13.6
Possession Point,POSS,2024-07-17,17.0,0.0,7.0,2024.0,46.92425338042898,,18,17.5,17.5,16.8,17.75,17.15
Possession Point,POSS,2024-08-16,16.0,1.0,8.0,2024.0,75.56470729914584,,14.8,14.6,15.3,14.8,15.05,14.7
Possession Point,POSS,2024-09-14,14.0,0.0,9.0,2024.0,75.45073291473986,,14.5,14.7,15.3,14.3,14.9,14.5
