Site Code,Survey Day,Survey Month,Survey Year,Acres,Temp_t,Temp_t_minus1,Temp_t_minus2,Temp_t_minus3,Temp_t_minus4,PctAcreChange
EBL,15.0,8.0,2015.0,18.35404415624473,13.0,12.18125,12.18125,12.18125,12.18125,
EBL,22.0,7.0,2016.0,20.39669887322171,12.0,13.0,12.0,12.0,12.0,11.129180575072283
EBL,16.0,9.0,2017.0,21.53481549546215,11.0,12.0,13.0,11.0,11.0,5.579905990251421
EBL,7.0,8.0,2018.0,21.29341252563125,12.0,11.0,12.0,13.0,12.18125,-1.1209892644855501
EBL,13.0,8.0,2019.0,41.1311539585761,13.0,12.0,11.0,12.0,13.0,93.16374915982027
EBL,30.0,8.0,2020.0,41.6146203186869,11.95,13.0,12.0,11.0,12.0,1.1754262002902083
EBL,11.0,8.0,2021.0,37.68134113124707,12.0,11.95,13.0,12.0,11.0,-9.451676255408737
EBL,23.0,8.0,2022.0,38.6298168238,12.15,12.0,11.95,13.0,12.0,2.51709643043041
EBL,14.0,8.0,2023.0,31.12262745068293,12.0,12.15,12.0,11.95,13.0,-19.433665469756654
EBL,20.0,8.0,2024.0,33.20790578632533,11.350000000000001,12.0,12.15,12.0,11.95,6.700200164483983
