Bed Name,lat,lon
Aiston_Preserve,48.68035507,-122.629921
Biz_Point,48.44162829,-122.678342
Cherry_Point_Gulf_Rd,48.8502637,-122.723385
Clallam_Bay,48.25624042,-124.274586
Coffin_Rocks,48.41294104,-122.662289
Ebeys_Landing,48.18365327,-122.70319
Freshwater_Bay_1,48.14080729,-123.608792
Freshwater_Bay_2,48.14983536,-123.637116
Hat_Island,48.00326653,-122.299249
Hoypus_Point,48.41068318,-122.602076
Lowell,48.12038962,-122.485688
Lummi_SW,48.64979755,-122.629515
North_Beach_East,48.14492653,-122.777051
Polnell_Point,48.27456274,-122.565838
Possession_Point,47.90176945,-122.388517
Shannon_Point_East,48.50964642,-122.680414
Shannon_Point_West,48.50771839,-122.688303
,48.151343,-123.637779
,47.81666896,-122.38188
,47.8219664,-122.376966
,47.84417736,-122.345881
,47.93638931,-122.310475
,48.00509294,-122.316456
,48.89128687,-122.795747
,48.44094643,-122.67756
,48.40492299,-122.555949
